job_family,experiment_id,seed,output_dir,scientific_question,contract_sha256,bundle_sha256,pretrain_episode_presentations,RL_ALGORITHM,POLICY_ENCODER,VINE_OBSERVATION_MODE,VINE_FEATURE_MODE,CVAR_OBSERVATION_MODE,CVAR_REWARD_MODE,PRETRAIN_DATA_MODE,RUN_FINETUNE,CHECKPOINT_PREFIX,LR_ACTOR,LR_CRITIC,ENTROPY_COEF,PRETRAIN_BEHAVIOR_GATE_MODE,PRETRAIN_EPISODES,PRETRAIN_RANDOM_EXPLORATION_STEPS,PRETRAIN_NOISE_DECAY,PRETRAIN_BEHAVIOR_GATE_WINDOW,SYNTHETIC_RETURNS_FILE
terminal_masked_pretraining_control,masked_historical_prefix_1000_presentations,20261001,data/masked_pretraining_control_runs_v1/masked_historical_prefix_1000_presentations/seed_20261001,Does the concentrated NN-vine curriculum add value beyond balanced repetition of real training-prefix trajectories under the identical masked controller and interaction budget?,99a956288d9baff37bb731f8b95c79bf6a42bef602f10d238740b1c878579e56,1f07f655064ccb33dac3c60b2d1ca16ad2c91c73509313de46caeaa15b99e52e,1000,td3,lstm,zero,zero,zero,full,historical_prefix_repeated,true,td3_lstm_masked_histprefix1000,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/ablation_training_bundles/historical_prefix_repeated.RData
terminal_masked_pretraining_control,masked_historical_prefix_1000_presentations,20261002,data/masked_pretraining_control_runs_v1/masked_historical_prefix_1000_presentations/seed_20261002,Does the concentrated NN-vine curriculum add value beyond balanced repetition of real training-prefix trajectories under the identical masked controller and interaction budget?,99a956288d9baff37bb731f8b95c79bf6a42bef602f10d238740b1c878579e56,1f07f655064ccb33dac3c60b2d1ca16ad2c91c73509313de46caeaa15b99e52e,1000,td3,lstm,zero,zero,zero,full,historical_prefix_repeated,true,td3_lstm_masked_histprefix1000,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/ablation_training_bundles/historical_prefix_repeated.RData
terminal_masked_pretraining_control,masked_historical_prefix_1000_presentations,20261003,data/masked_pretraining_control_runs_v1/masked_historical_prefix_1000_presentations/seed_20261003,Does the concentrated NN-vine curriculum add value beyond balanced repetition of real training-prefix trajectories under the identical masked controller and interaction budget?,99a956288d9baff37bb731f8b95c79bf6a42bef602f10d238740b1c878579e56,1f07f655064ccb33dac3c60b2d1ca16ad2c91c73509313de46caeaa15b99e52e,1000,td3,lstm,zero,zero,zero,full,historical_prefix_repeated,true,td3_lstm_masked_histprefix1000,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/ablation_training_bundles/historical_prefix_repeated.RData
terminal_masked_pretraining_control,masked_historical_prefix_1000_presentations,20261004,data/masked_pretraining_control_runs_v1/masked_historical_prefix_1000_presentations/seed_20261004,Does the concentrated NN-vine curriculum add value beyond balanced repetition of real training-prefix trajectories under the identical masked controller and interaction budget?,99a956288d9baff37bb731f8b95c79bf6a42bef602f10d238740b1c878579e56,1f07f655064ccb33dac3c60b2d1ca16ad2c91c73509313de46caeaa15b99e52e,1000,td3,lstm,zero,zero,zero,full,historical_prefix_repeated,true,td3_lstm_masked_histprefix1000,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/ablation_training_bundles/historical_prefix_repeated.RData
terminal_masked_pretraining_control,masked_historical_prefix_1000_presentations,20261005,data/masked_pretraining_control_runs_v1/masked_historical_prefix_1000_presentations/seed_20261005,Does the concentrated NN-vine curriculum add value beyond balanced repetition of real training-prefix trajectories under the identical masked controller and interaction budget?,99a956288d9baff37bb731f8b95c79bf6a42bef602f10d238740b1c878579e56,1f07f655064ccb33dac3c60b2d1ca16ad2c91c73509313de46caeaa15b99e52e,1000,td3,lstm,zero,zero,zero,full,historical_prefix_repeated,true,td3_lstm_masked_histprefix1000,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/ablation_training_bundles/historical_prefix_repeated.RData
terminal_masked_pretraining_control,masked_historical_prefix_1000_presentations,20261006,data/masked_pretraining_control_runs_v1/masked_historical_prefix_1000_presentations/seed_20261006,Does the concentrated NN-vine curriculum add value beyond balanced repetition of real training-prefix trajectories under the identical masked controller and interaction budget?,99a956288d9baff37bb731f8b95c79bf6a42bef602f10d238740b1c878579e56,1f07f655064ccb33dac3c60b2d1ca16ad2c91c73509313de46caeaa15b99e52e,1000,td3,lstm,zero,zero,zero,full,historical_prefix_repeated,true,td3_lstm_masked_histprefix1000,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/ablation_training_bundles/historical_prefix_repeated.RData
terminal_masked_pretraining_control,masked_historical_prefix_1000_presentations,20261007,data/masked_pretraining_control_runs_v1/masked_historical_prefix_1000_presentations/seed_20261007,Does the concentrated NN-vine curriculum add value beyond balanced repetition of real training-prefix trajectories under the identical masked controller and interaction budget?,99a956288d9baff37bb731f8b95c79bf6a42bef602f10d238740b1c878579e56,1f07f655064ccb33dac3c60b2d1ca16ad2c91c73509313de46caeaa15b99e52e,1000,td3,lstm,zero,zero,zero,full,historical_prefix_repeated,true,td3_lstm_masked_histprefix1000,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/ablation_training_bundles/historical_prefix_repeated.RData
terminal_masked_pretraining_control,masked_historical_prefix_1000_presentations,20261008,data/masked_pretraining_control_runs_v1/masked_historical_prefix_1000_presentations/seed_20261008,Does the concentrated NN-vine curriculum add value beyond balanced repetition of real training-prefix trajectories under the identical masked controller and interaction budget?,99a956288d9baff37bb731f8b95c79bf6a42bef602f10d238740b1c878579e56,1f07f655064ccb33dac3c60b2d1ca16ad2c91c73509313de46caeaa15b99e52e,1000,td3,lstm,zero,zero,zero,full,historical_prefix_repeated,true,td3_lstm_masked_histprefix1000,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/ablation_training_bundles/historical_prefix_repeated.RData
terminal_masked_pretraining_control,masked_historical_prefix_1000_presentations,20261009,data/masked_pretraining_control_runs_v1/masked_historical_prefix_1000_presentations/seed_20261009,Does the concentrated NN-vine curriculum add value beyond balanced repetition of real training-prefix trajectories under the identical masked controller and interaction budget?,99a956288d9baff37bb731f8b95c79bf6a42bef602f10d238740b1c878579e56,1f07f655064ccb33dac3c60b2d1ca16ad2c91c73509313de46caeaa15b99e52e,1000,td3,lstm,zero,zero,zero,full,historical_prefix_repeated,true,td3_lstm_masked_histprefix1000,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/ablation_training_bundles/historical_prefix_repeated.RData
terminal_masked_pretraining_control,masked_historical_prefix_1000_presentations,20261010,data/masked_pretraining_control_runs_v1/masked_historical_prefix_1000_presentations/seed_20261010,Does the concentrated NN-vine curriculum add value beyond balanced repetition of real training-prefix trajectories under the identical masked controller and interaction budget?,99a956288d9baff37bb731f8b95c79bf6a42bef602f10d238740b1c878579e56,1f07f655064ccb33dac3c60b2d1ca16ad2c91c73509313de46caeaa15b99e52e,1000,td3,lstm,zero,zero,zero,full,historical_prefix_repeated,true,td3_lstm_masked_histprefix1000,0.00003,0.0001,0.005,report_only,1000,1000,0.998,100,data/ablation_training_bundles/historical_prefix_repeated.RData
