strategy_id,label,method,seed,role,completed,gate_pass,ensemble_group,include_main,include_inference,report_seed_distribution,weight_log_path,weight_log_sha256,checkpoint_path,checkpoint_sha256,config_sha256,code_sha256,train_seconds,evaluation_seconds,notes,manifest_directory,ensemble_members
equal_weight,Equal weight,Equal weight,,benchmark,True,True,,True,True,False,GENERATE_EQUAL_WEIGHT,,not_applicable,not_applicable,,,,0,Generated by the common evaluator.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
shrinkage_mean_variance,Constrained shrinkage mean-variance,Constrained shrinkage mean-variance,,benchmark,True,True,,True,True,False,benchmark_weights/weights_shrinkage_mean_variance.csv,8f8368527dfd3085d0265c9f03faf5d0df53c398e5153c3ba7b5556eb4932c8a,not_applicable,not_applicable,,,,319.684321,Causal frozen benchmark; solver failures are fatal.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
dcc_garch,DCC-GARCH,DCC-GARCH,,benchmark,True,True,,True,True,False,benchmark_weights/weights_dcc_garch.csv,bb483aeeba9a2f4bc326f90860a8ee3dd0c5da0210362e315ae08c75fcbf619f,not_applicable,not_applicable,,,,319.684321,Causal frozen benchmark; solver failures are fatal.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
static_vine,Static vine optimizer,Static vine optimizer,,benchmark,True,True,,True,True,False,benchmark_weights/weights_static_vine.csv,7dcb476a6358d488a8f2262368d5312d0fe099a775c56c23c4ce065026640de2,not_applicable,not_applicable,,,,319.684321,Causal frozen benchmark; solver failures are fatal.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
rolling_vine,Rolling vine optimizer,Rolling vine optimizer,,benchmark,True,True,,True,True,False,benchmark_weights/weights_rolling_vine.csv,bd04e8b26aebdd65e5fdfc076899df7ca7dfbd9f8d201a5060b72a8a8babc5d2,not_applicable,not_applicable,,,,319.684321,Causal frozen benchmark; solver failures are fatal.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
dynamic_nn_vine,Dynamic NN-vine optimizer without RL,Dynamic NN-vine optimizer without RL,,benchmark,True,True,,True,True,False,benchmark_weights/weights_dynamic_nn_vine.csv,7b51e03936853affe9178d8f335293005f52d662413d826f53852dbcdd05a559,not_applicable,not_applicable,,,,319.684321,Causal frozen benchmark; solver failures are fatal.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260741,NN-vine LSTM-TD3 seed 20260741,NN-vine LSTM-TD3,20260741,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260741.csv,57138ae21769d88852cfc86d10acdea7e1f85096278a934ae7bfd513679e76cc,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260741/td3_lstm_vine_full.pt,aa4ea7b6e3afc29d16cd6b9af11caeeec242f619aed18691a56cf79613696875,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,10.900047,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260742,NN-vine LSTM-TD3 seed 20260742,NN-vine LSTM-TD3,20260742,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260742.csv,b76a1958b82a2c5cb2d72b69eb580ec0246e6aafc09c35c736c0f08cf59c9b6c,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260742/td3_lstm_vine_full.pt,45091607737d6cce916e3fbd1259c623ddc8ee2ba2348656dbed1aecff84bd64,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.017731,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260743,NN-vine LSTM-TD3 seed 20260743,NN-vine LSTM-TD3,20260743,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260743.csv,826d0b367bc0d50496bcde07a76b7940773bfe521429ba9ddbf2202095335c07,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260743/td3_lstm_vine_full.pt,dd4d6c2b771205a9ae08a2067cfe942b30d826ba99ead319f2c899888cf095f1,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.010430,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260744,NN-vine LSTM-TD3 seed 20260744,NN-vine LSTM-TD3,20260744,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260744.csv,bcf293c6704e147f0b204a1e4b418b25b0660f237b41cc442ba99f6aeae634e8,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260744/td3_lstm_vine_full.pt,07cee2657c6007993782fa9326e834bf356edb8726a6bbf2140e8668d1ddb9c1,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.039795,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260745,NN-vine LSTM-TD3 seed 20260745,NN-vine LSTM-TD3,20260745,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260745.csv,b3f43b7afd7ea2d5bccf565acc827d9f5fc0926c60b8afe26baa89c3128b2762,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260745/td3_lstm_vine_full.pt,cec2dfe7e382310c411661244c7fec68c1d61abc905f664dcb7bfa4db7a86d85,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,10.950736,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
vine_td3_seed_20260746,NN-vine LSTM-TD3 seed 20260746,NN-vine LSTM-TD3,20260746,proposed,True,True,vine_td3_full_gate_pass,False,False,True,weights/weights_rl_full_seed_20260746.csv,65d240f1fa4bdd2b55e0311d713c56d44c68a851aa6092f8a143ac9dba019422,/gabirel/copula-portfolio-clean/frozen_releases/training_schema5_v1/seeds/seed_20260746/td3_lstm_vine_full.pt,c6e3a8e67ba1e544cf9f03ddf8c7658ea5785aa152688e69aeef468c8c64a1da,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,f521a8b7931928932539cb35b6f6b2b7c981e36a698186938ff7d92aaec9db81,,11.120719,Passing frozen pre-holdout checkpoint.,/gabirel/copula-portfolio-clean/locked_evaluation/.main_oos_v4_operational_retry_ahmw6kiu,
