order,artifact,origin,decision,section,role,duplication_rule
1,figure_m01_lstm_td3_architecture.tex,existing,main_text,Methodology: policy architecture,One compact architecture figure,Keep; do not also include the full training diagram here
2,figure_m02_training_strategy.tex,existing,appendix,Appendix: training protocol,Detailed leakage-safe training flow,Move out of main text
3,table_r01_final_primary_performance_daily_risk.tex,new_terminal,main_text,Results: frozen primary evaluation,Definitive primary economic and daily-risk table,Supersedes the old primary-performance table
4,figure_01_wealth_drawdown.tex,existing,main_text,Results: frozen primary evaluation,Economic path and drawdown,Keep as the only primary wealth figure
5,figure_r02_intramonth_risk.tex,new_terminal,main_text,Results: daily downside risk,Shows risk hidden by monthly endpoints,Do not retain the old risk-return scatter in main text
6,figure_r01_terminal_contrast_forest.tex,new_terminal,main_text,Results: inference and mechanism synthesis,Single cross-evidence effect summary,Supersedes figures 06 and 11 in the main text
7,figure_16_focused_walk_forward.tex,existing,main_text,Results: retrospective robustness,Two nonoverlapping focused windows,Keep; label retrospective
8,figure_r04_pretraining_tradeoff.tex,new_terminal,main_text,Results: pretraining-source controls,"Performance, seed stability, and tail-risk trade-off",Use instead of separate dose/presentation plots
9,table_r02_key_registered_contrasts.tex,new_terminal,omit,Author convenience only,Compact numerical counterpart to the terminal forest,The full appendix table already contains these rows
10,table_r03_pretraining_source_tradeoff.tex,new_terminal,appendix,Appendix: pretraining controls,Exact values underlying the trade-off plot,Do not place beside the same figure in main text
11,figure_r03_friction_surface.tex,new_terminal,appendix,Appendix: implementation robustness,Frozen-weight cost sensitivity,Supersedes existing implementation-intensity plot for cost claims
12,figure_r05_resampling_stability.tex,new_terminal,appendix,Appendix: inferential robustness,CI sign across all nine block specifications,Keep full numerical contrast table adjacent
13,table_a01_full_registered_contrasts.tex,new_terminal,appendix,Appendix: inferential robustness,All eleven registered effects,Full table only; key table may be omitted if page pressure is severe
14,table_a02_friction_break_even.tex,new_terminal,online_supplement,Supplement: implementation,Exact crossing diagnostics,Figure R03 is sufficient in the PDF
15,table_a03_evidence_ledger.tex,new_terminal,appendix,Appendix: protocol provenance,Evidence-class and sample-boundary audit,One compact provenance table
16,figure_s01_marginal_fidelity.tex,existing,appendix,Appendix: synthetic-data diagnostics,Marginal fidelity,Combine S01--S03 across at most two pages
17,figure_s02_dependence_fidelity.tex,existing,appendix,Appendix: synthetic-data diagnostics,Dependence fidelity,Combine S01--S03 across at most two pages
18,figure_s03_temporal_fidelity.tex,existing,appendix,Appendix: synthetic-data diagnostics,Temporal fidelity,Combine S01--S03 across at most two pages
19,figure_05_seed_robustness.tex,existing,appendix,Appendix: optimization uncertainty,Primary 20-seed dispersion,Retain because ensemble-only reporting masks instability
20,figure_08_ensemble_cancellation.tex,existing,appendix,Appendix: ensemble mechanism,Exposure and turnover cancellation,One ensemble-mechanism plot is sufficient
21,figure_03_allocation_heatmap.tex,existing,appendix_optional,Appendix: portfolio composition,Allocation interpretability,Include only if final PDF remains below 40 pages
22,figure_02_risk_return_utility.tex,existing,omit,None,Redundant risk-return scatter,Table R01 and figure R02 now provide stronger evidence
23,figure_04_implementation.tex,existing,omit,None,Earlier implementation summary,Superseded by terminal friction analysis
24,figure_06_primary_inference.tex,existing,omit,None,Primary-only forest,Superseded by terminal contrast forest
25,figure_07_monthly_excess.tex,existing,omit,None,Monthly excess-return detail,Low incremental value per page
26,figure_09_ensemble_size.tex,existing,online_supplement,Supplement: exploratory ensemble size,Post-holdout k sensitivity,Do not spend PDF pages on unselected k
27,figure_10_drift_accounting.tex,existing,online_supplement,Supplement: accounting audit,Target versus drift accounting,Describe reconciliation in text
28,figure_11_causal_forest.tex,existing,omit,None,Earlier causal forest,Superseded by terminal contrast forest
29,figure_12_causal_turnover_performance.tex,existing,online_supplement,Supplement: causal diagnostics,Exploratory performance-turnover plane,Not needed for core claims
30,figure_13_causal_seed_effects.tex,existing,omit,None,Earlier causal seed effects,Pretraining figure and seed appendix cover instability
31,figure_14_causal_wealth.tex,existing,omit,None,Post-holdout causal wealth,Avoid a second same-holdout wealth plot
32,figure_15_compressed_benchmark_reconciliation.tex,existing,online_supplement,Supplement: benchmark reconciliation,Operational audit,Report pass status in prose
33,figure_t01_pretraining_stability.tex,existing,online_supplement,Supplement: training diagnostics,Training trajectories,Do not confuse in-sample training diagnostics with OOS evidence
34,figure_t02_optimizer_diagnostics.tex,existing,online_supplement,Supplement: training diagnostics,Optimizer trajectories,Do not confuse in-sample training diagnostics with OOS evidence
