claim_id,claim,evidence_class,decision,decisive_evidence,permissible_wording,prohibited_wording,manuscript_location
TR-C01,The frozen NN-vine TD3 ensemble is economically competitive with strong benchmarks.,frozen_primary_evaluation,supported_descriptively,"CRRA CE 27.96%; fourth of seven strategies and above equal weight, shrinkage MV, rolling vine, and DCC-GARCH.",Competitive risk-adjusted performance with comparatively low volatility and implementation drag.,Best-performing or universally superior portfolio optimizer.,Results: frozen primary evaluation
TR-C02,The frozen TD3 ensemble has a statistically established advantage over the benchmark family.,frozen_primary_evaluation,rejected,White reality-check p=0.531; no registered positive contrast is significant.,No benchmark-family superiority is established on the short locked path.,Statistically proven benchmark superiority or dominance.,Results: paired inference
TR-C03,Direct raw vine-state injection adds value to the recurrent policy.,post_holdout_explanatory,opposite_direction_evidence,"Effect -7.21 pp; MBB(3) CI [-13.67, -2.48] pp; negative in every leave-one-out sample.",Raw policy-visible vine features were harmful in the causal path and not beneficial in focused windows.,The policy exploits a proven incremental raw-vine signal.,Results: mechanism analysis
TR-C04,Masking policy-visible dependence improves robustness across retrospective windows.,retrospective_walk_forward,supported_retrospectively_not_confirmatory,"Full minus masked effect -4.99 pp; MBB(3) CI [-9.02, -0.65] pp; leave-one-out fraction positive 0%.",The masked-state architecture was the strongest descriptive policy in both focused windows.,A new confirmatory masked-state winner was selected.,Results: focused walk-forward robustness
TR-C05,Concentrated vine-synthetic pretraining outperforms matched historical-prefix training.,post_holdout_explanatory,not_established,"Effect -1.28 pp; MBB(3) CI [-16.41, 20.70] pp.","Synthetic and historical masked ensembles were close in CE, with different stability and cost profiles.",Synthetic pretraining beats historical training.,Results: pretraining-source controls
TR-C06,Concentrated vine-synthetic pretraining outperforms a moving-block bootstrap control.,post_holdout_explanatory,promising_not_established,"Effect +6.54 pp; MBB(3) CI [-5.15, 23.51] pp; terminal-family reality-check p=0.238.",The vine generator has a positive but statistically unresolved point advantage over naive temporal bootstrap pretraining.,The vine generator is proven superior to bootstrap simulation.,Results: pretraining-source controls
TR-C07,Historical-only training dominates the original full-state moving-block-bootstrap control on this path.,post_holdout_explanatory,supported_within_explanatory_sample,"Effect +18.91 pp; MBB(3) CI [7.21, 35.79] pp; significant under all nine resampling specifications.",Historical training strongly outperformed the matched original bootstrap control in the consumed holdout.,Historical training is universally optimal.,Results: pretraining-source controls
TR-C08,Synthetic or resampled pretraining regularizes optimization-seed variability.,post_holdout_explanatory,supported_descriptively,"Seed CE SD: historical 15.65 pp, concentrated vine synthetic 7.61 pp, moving-block bootstrap 4.47 pp.","Simulation-based pretraining reduced seed dispersion and improved worst-seed stability, at a possible cost to ensemble mean performance.",Synthetic data guarantees better future returns or lower realized tail risk.,Results: pretraining stability
TR-C09,Monthly reporting materially understates intramonth drawdown.,frozen_primary_daily_audit,supported_descriptively,TD3 drawdown rises from 6.64% monthly to 13.45% on the reconstructed daily path; analogous ratios are near two for major benchmarks.,Daily reconstruction approximately doubles observed drawdown relative to monthly endpoints.,Monthly maximum drawdown fully characterizes path risk.,Results: daily downside risk
TR-C10,Lower turnover gives TD3 an implementation-cost advantage over direct vine optimizers.,frozen_weight_robustness_rescoring,supported_descriptively,TD3 crosses dynamic NN-vine at 12.1 bps and static vine at 23.2 bps; no policy is retrained.,The RL ensemble becomes preferable to direct vine optimizers under moderate transaction costs.,The cost analysis proves future net outperformance.,Appendix: implementation robustness
TR-C11,The campaign provides precise 99% daily-tail estimates.,frozen_primary_daily_audit,rejected_due_to_event_count,Only five 99% tail observations occur in each 431-day locked path.,The 99% VaR/CVaR estimates are descriptive sensitivity diagnostics.,Precise or statistically established 99% tail dominance.,Appendix: daily tail-risk diagnostics
TR-C12,Further same-holdout tuning can create a fresh confirmatory result.,protocol_boundary,prohibited,The terminal contract forbids additional same-holdout training or model selection.,Future confirmation requires independently frozen external or newly arriving data.,A revised model retested on these 24 months is independently confirmed.,Limitations and future validation
